material,type,name,img,mat1,mat2,mat3,mat4,mat5,mat6,mat7,mat8,mat9,mat10,mat11,mat12,mat13,mat14,mat15,mat16,mat17,mat18,mat19,mat20,mat21,mat22,mat23,mat24,mat25,mat26,mat27,mat28
sGranite,Stone / Ceramic,Granite,./img/Axon_Stone.png,0,0,0.013872,0,0,0.95092165,0,0,0,0,0,0,0,0,0,0,1.815334,0,0,0,0,0,0,0,0,0,0,0
sSlate,Stone / Ceramic,Slate,./img/Axon_Stone.png,0,0,0.013872,0,0,0.95092165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73082,0,0,0,0,0,0
sCeramic,Stone / Ceramic,Porcelain,./img/Axon_Stone.png,0,0,0.013872,0.619747,0,0,0,0,0,0,0.485413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rRubber,Resilient,Rubber,./img/Axon_Resilient.png,0.070574,0,0,0,0.43477267,0,0,0,0.00056,0,0,0,0,0,0,0,0,0,0,0,1.157075,0,0,0,0,0,0.021546122,0.021546122
rVinyl,Resilient,Vinyl,./img/Axon_Resilient.png,0.070574,0,0,0,0.43477267,0,0,0,0.00056,0,0,0,0,0,0,0,0,0,0.679316,0,0,0,0,0,0,0,0.021546122,0.021546122
rLinoTile,Resilient,Linoleum,./img/Axon_Resilient.png,0.070574,0,0,0,0.43477267,0,0,0,0.00056,0,0,0,0,0,0,0,0,0,0,0.010952,0,0,0,0,0,0,0.021546122,0.021546122
mConcrete,Misc.,Concrete Topper,./img/Axon_Misc.png,0,0,0,0,1.73909068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mTerrazzo,Misc.,Thin-Set Terrazzo,./img/Axon_Misc.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4854,0,0,0,0
mEpoxy,Misc.,Epoxy,./img/Axon_Misc.png,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8222,0,0,0
cHigh,Carpet,High Pile,./img/Axon_Carpet.png,0.070574,0,0,0,0.43477267,0,0,0.023926,0,0,0,1.330145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cMedium,Carpet,Medium Pile,./img/Axon_Carpet.png,0.070574,0,0,0,0.43477267,0,0,0.023926,0,0,0,0,0,1.044394,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cLow,Carpet,Low Pile,./img/Axon_Carpet.png,0.070574,0,0,0,0.43477267,0,0,0.023926,0,0,0,0,0.631421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wEngineered,Wood,Engineered,./img/Axon_Wood.png,0.070574,-0.87185,0,0,0,0,0.074292,0,0,0,0,0,0,0,0,0,0,-0.08452,0,0,0,0,0,0,0,0.017221619,0,0
wBamboo,Wood,Bamboo,./img/Axon_Wood.png,0.070574,-1.25547,0,0,0,0,0.074292,0,0,-0.02322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017221619,0,0
wCork,Wood,Cork,./img/Axon_Wood.png,0.070574,-1.25547,0,0,0,0,0,0,0.00056,0,0,0,0,0,-0.28346,0,0,0,0,0,0,0,0,0,0,0,0.021546122,0.021546122
wSoftwood,Wood,Softwood Plank,./img/Axon_Wood.png,0.070574,-1.25547,0,0,0,0,0.074292,0,0,0,0,0,0,0,0,-1.2654,0,0,0,0,0,0,0,0,0,0.017221619,0,0
wHardwood,Wood,Hardwood Plank,./img/Axon_Wood.png,0.070574,-1.25547,0,0,0,0,0.074292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4414,0,0,0.017221619,0,0