material,type,impact1,impact2,name,img
MVGranite,Masonry Veneer,18.19375415,0.353306264,Granite,./img/mvgranite.png
MVLimestone,Masonry Veneer,11.45434466,0.330939354,Limestone,./img/mvlimestone.png
MVBrick,Masonry Veneer,8.541837958,0.205456815,Brick,./img/mvbrick.png
MVTBrick,Masonry Veneer,5.242728159,0.087738943,Thin Brick,./img/mvtbrick.png
MInsMePanel,Misc,13.17617428,0.073107335,Insulated Metal Panel,./img/minsmepanel.png
MEIFS,Misc,13.03057904,0.0519109,EIFS (XPS),./img/mefis.png
MPrecast,Misc,9.421362681,0.096208592,Precast Concrete,./img/mprecast.png
MMinWool,Misc,3.158651499,0.044672174,EIFS (Min Wool),./img/mminwool.png
CSpandrelAlumB,Curtain Wall,14.09020027,0.198928813,Spandrel (Alum w/ Backpan),./img/cspandrelalumb.png
CSpandrelSteel,Curtain Wall,13.04782456,0.211544695,Spandrel (Steel),./img/cspandrelsteel.png
CSpandrelAlum,Curtain Wall,11.38233915,0.197685421,Spandrel (Alum),./img/cspandrelalum.png
CSpandrelWood,Curtain Wall,4.481282162,0.221354135,Spandrel (Wood),./img/cspandrelwood.png
RGFRC,Rainscreen,14.54109285,0.143067735,Glass Fiber Reinforced Concrete (GFRC),./img/rgfrc.png
RACM,Rainscreen,10.42440102,0.0766293,Aluminum Composite Material (ACM),./img/racm.png
RTerracotta,Rainscreen,7.831607143,0.339642857,Terracotta,./img/rterracotta.png
RPhenResin,Rainscreen,7.87739973,0.107965221,Phenolic Resin,./img/rphenresin.png
RFiberCement,Rainscreen,7.51602564,0.079637734,Fiber Cement,./img/rfibercement.png
RZinc,Rainscreen,6.582303768,0.070634411,Formed Zinc Panel,./img/rzinc.png
RUHPC,Rainscreen,6.480871274,0.082009623,UHPC (fibreC),./img/ruhpc.png
RGranite,Rainscreen,6.363396932,0.074546123,Granite,./img/rgranite.png
RTBrick,Rainscreen,6.116059799,0.093358329,Thin Brick,./img/rtbrick.png
RLimestone,Rainscreen,6.012357235,0.074707351,Limestone,./img/rlimestone.png
RSteel,Rainscreen,4.604707689,0.058389558,Formed Steel Panel,./img/rsteel.png
RWood,Rainscreen,2.936301692,0.072806008,Wood,./img/rwood.png